r1,r2,a11,a22,a12,a21,N1,N2,Outcome,E1,E2,S1,S2,Rank,CoexistRank,Asy,cor,Rare
15.0,15.0,0.3,0.1,0.1,0.1,0.0,139.99999999999997,0,1.0,1.0,1.0,2.647058823529412,2,0,-1.6470588235294117,115.29411764705883,0.0
16.0,15.0,0.3,0.1,0.1,0.1,5.000000000000001,135.0,1,1.0666666666666669,0.9375,1.0666666666666669,2.5,2,1,-1.433333333333333,93.16666666666666,0.0357142857142857
16.0,16.0,0.3,0.1,0.1,0.1,0.0,150.0,0,1.0,1.0,1.0,2.666666666666666,2,0,-1.666666666666666,124.99999999999996,0.0
17.0,15.0,0.3,0.1,0.1,0.1,10.000000000000002,130.0,1,1.1333333333333333,0.8823529411764706,1.1333333333333333,2.3684210526315788,2,1,-1.2350877192982457,74.10526315789473,0.0714285714285714
17.0,16.0,0.3,0.1,0.1,0.1,5.000000000000001,145.0,1,1.0625,0.9411764705882352,1.0625,2.526315789473684,2,1,-1.463815789473684,102.46710526315789,0.0333333333333333
17.0,17.0,0.3,0.1,0.1,0.1,0.0,160.0,0,1.0,1.0,1.0,2.6842105263157894,2,0,-1.6842105263157894,134.73684210526315,0.0
18.0,15.0,0.3,0.1,0.1,0.1,15.000000000000004,125.0,1,1.2,0.8333333333333334,1.2,2.25,2,1,-1.05,57.75,0.1071428571428571
18.0,16.0,0.3,0.1,0.1,0.1,10.000000000000002,139.99999999999997,1,1.125,0.8888888888888888,1.125,2.4,2,1,-1.275,82.87499999999997,0.0666666666666667
18.0,17.0,0.3,0.1,0.1,0.1,5.000000000000001,154.99999999999997,1,1.0588235294117647,0.9444444444444444,1.0588235294117647,2.55,2,1,-1.491176470588235,111.83823529411761,0.03125
18.0,18.0,0.3,0.1,0.1,0.1,0.0,169.99999999999997,0,1.0,1.0,1.0,2.7,2,0,-1.6999999999999995,144.5,0.0
19.0,15.0,0.3,0.1,0.1,0.1,20.000000000000004,120.0,1,1.2666666666666666,0.7894736842105263,1.2666666666666666,2.142857142857143,2,1,-0.8761904761904762,43.80952380952381,0.1428571428571428
19.0,16.0,0.3,0.1,0.1,0.1,15.000000000000004,135.0,1,1.1875,0.8421052631578947,1.1875,2.2857142857142856,2,1,-1.0982142857142856,65.89285714285714,0.1
19.0,17.0,0.3,0.1,0.1,0.1,10.000000000000002,150.0,1,1.1176470588235294,0.8947368421052632,1.1176470588235294,2.4285714285714284,2,1,-1.310924369747899,91.76470588235293,0.0625
19.0,18.0,0.3,0.1,0.1,0.1,5.000000000000001,165.0,1,1.0555555555555556,0.9473684210526316,1.0555555555555556,2.571428571428571,2,1,-1.5158730158730156,121.26984126984125,0.0294117647058823
19.0,19.0,0.3,0.1,0.1,0.1,0.0,180.0,0,1.0,1.0,1.0,2.714285714285714,2,0,-1.714285714285714,154.28571428571425,0.0
20.0,15.0,0.3,0.1,0.1,0.1,25.000000000000007,115.0,1,1.3333333333333333,0.75,1.3333333333333333,2.0454545454545454,2,1,-0.7121212121212122,32.04545454545455,0.1785714285714286
20.0,16.0,0.3,0.1,0.1,0.1,20.000000000000004,130.0,1,1.25,0.8,1.25,2.1818181818181817,2,1,-0.9318181818181815,51.24999999999999,0.1333333333333333
20.0,17.0,0.3,0.1,0.1,0.1,15.000000000000004,145.0,1,1.1764705882352942,0.85,1.1764705882352942,2.318181818181818,2,1,-1.1417112299465235,74.21122994652404,0.09375
20.0,18.0,0.3,0.1,0.1,0.1,10.000000000000002,160.0,1,1.1111111111111112,0.9,1.1111111111111112,2.454545454545454,2,1,-1.343434343434343,100.75757575757572,0.0588235294117647
20.0,19.0,0.3,0.1,0.1,0.1,5.000000000000001,175.0,1,1.0526315789473684,0.95,1.0526315789473684,2.590909090909091,2,1,-1.5382775119617225,130.7535885167464,0.0277777777777777
20.0,20.0,0.3,0.1,0.1,0.1,0.0,190.0,0,1.0,1.0,1.0,2.727272727272727,2,0,-1.727272727272727,164.09090909090907,0.0
15.0,15.0,0.5,0.1,0.1,0.1,0.0,140.0,0,1.0,1.0,1.0,3.947368421052632,2,0,-2.9473684210526314,206.31578947368422,0.0
16.0,15.0,0.5,0.1,0.1,0.1,2.5,137.5,1,1.0666666666666669,0.9375,1.0666666666666669,3.75,2,1,-2.6833333333333336,181.125,0.0178571428571428
16.0,16.0,0.5,0.1,0.1,0.1,0.0,150.0,0,1.0,1.0,1.0,4.0,2,0,-3.0,225.0,0.0
17.0,15.0,0.5,0.1,0.1,0.1,5.0,135.0,1,1.1333333333333333,0.8823529411764706,1.1333333333333333,3.571428571428571,2,1,-2.438095238095238,158.47619047619045,0.0357142857142857
17.0,16.0,0.5,0.1,0.1,0.1,2.5,147.5,1,1.0625,0.9411764705882352,1.0625,3.809523809523809,2,1,-2.7470238095238093,199.15922619047615,0.0166666666666666
17.0,17.0,0.5,0.1,0.1,0.1,0.0,160.0,0,1.0,1.0,1.0,4.047619047619048,2,0,-3.0476190476190474,243.80952380952385,0.0
18.0,15.0,0.5,0.1,0.1,0.1,7.500000000000001,132.5,1,1.2,0.8333333333333334,1.2,3.4090909090909087,2,1,-2.209090909090909,138.0681818181818,0.0535714285714285
18.0,16.0,0.5,0.1,0.1,0.1,5.0,145.0,1,1.125,0.8888888888888888,1.125,3.636363636363636,2,1,-2.511363636363636,175.7954545454545,0.0333333333333333
18.0,17.0,0.5,0.1,0.1,0.1,2.5,157.5,1,1.0588235294117647,0.9444444444444444,1.0588235294117647,3.8636363636363633,2,1,-2.804812834224599,217.3729946524064,0.015625
18.0,18.0,0.5,0.1,0.1,0.1,0.0,170.0,0,1.0,1.0,1.0,4.090909090909091,2,0,-3.090909090909091,262.72727272727275,0.0
19.0,15.0,0.5,0.1,0.1,0.1,10.0,130.0,1,1.2666666666666666,0.7894736842105263,1.2666666666666666,3.260869565217392,2,1,-1.994202898550725,119.65217391304353,0.0714285714285714
19.0,16.0,0.5,0.1,0.1,0.1,7.500000000000001,142.5,1,1.1875,0.8421052631578947,1.1875,3.4782608695652177,2,1,-2.2907608695652177,154.6263586956522,0.05
19.0,17.0,0.5,0.1,0.1,0.1,5.0,155.0,1,1.1176470588235294,0.8947368421052632,1.1176470588235294,3.695652173913044,2,1,-2.5780051150895145,193.35038363171358,0.03125
19.0,18.0,0.5,0.1,0.1,0.1,2.5,167.5,1,1.0555555555555556,0.9473684210526316,1.0555555555555556,3.91304347826087,2,1,-2.8574879227053147,235.74275362318843,0.0147058823529411
19.0,19.0,0.5,0.1,0.1,0.1,0.0,180.0,0,1.0,1.0,1.0,4.130434782608696,2,0,-3.130434782608696,281.7391304347827,0.0
20.0,15.0,0.5,0.1,0.1,0.1,12.500000000000002,127.5,1,1.3333333333333333,0.75,1.3333333333333333,3.125,2,1,-1.7916666666666663,103.02083333333334,0.0892857142857143
20.0,16.0,0.5,0.1,0.1,0.1,10.0,140.0,1,1.25,0.8,1.25,3.333333333333333,2,1,-2.083333333333333,135.41666666666666,0.0666666666666666
20.0,17.0,0.5,0.1,0.1,0.1,7.500000000000001,152.5,1,1.1764705882352942,0.85,1.1764705882352942,3.541666666666666,2,1,-2.365196078431372,171.47671568627447,0.046875
20.0,18.0,0.5,0.1,0.1,0.1,5.0,165.0,1,1.1111111111111112,0.9,1.1111111111111112,3.75,2,1,-2.6388888888888884,211.11111111111111,0.0294117647058823
20.0,19.0,0.5,0.1,0.1,0.1,2.5,177.5,1,1.0526315789473684,0.95,1.0526315789473684,3.9583333333333326,2,1,-2.905701754385964,254.2489035087719,0.0138888888888888
20.0,20.0,0.5,0.1,0.1,0.1,0.0,190.0,0,1.0,1.0,1.0,4.166666666666666,2,0,-3.166666666666666,300.83333333333326,0.0
15.0,15.0,0.7,0.1,0.1,0.1,0.0,140.0,0,1.0,1.0,1.0,4.999999999999999,2,0,-3.999999999999999,279.99999999999994,0.0
16.0,15.0,0.7,0.1,0.1,0.1,1.6666666666666667,138.33333333333334,1,1.0666666666666669,0.9375,1.0666666666666669,4.7727272727272725,2,1,-3.706060606060606,253.2474747474747,0.0119047619047619
16.0,16.0,0.7,0.1,0.1,0.1,0.0,150.0,0,1.0,1.0,1.0,5.09090909090909,2,0,-4.09090909090909,306.81818181818176,0.0
17.0,15.0,0.7,0.1,0.1,0.1,3.333333333333333,136.66666666666666,1,1.1333333333333333,0.8823529411764706,1.1333333333333333,4.565217391304348,2,1,-3.4318840579710144,228.79227053140096,0.0238095238095238
17.0,16.0,0.7,0.1,0.1,0.1,1.6666666666666667,148.33333333333331,1,1.0625,0.9411764705882352,1.0625,4.869565217391304,2,1,-3.807065217391304,279.1847826086955,0.0111111111111111
17.0,17.0,0.7,0.1,0.1,0.1,0.0,160.0,0,1.0,1.0,1.0,5.173913043478261,2,0,-4.173913043478261,333.9130434782609,0.0
18.0,15.0,0.7,0.1,0.1,0.1,5.0,135.0,1,1.2,0.8333333333333334,1.2,4.375,2,1,-3.175,206.375,0.0357142857142857
18.0,16.0,0.7,0.1,0.1,0.1,3.333333333333333,146.66666666666666,1,1.125,0.8888888888888888,1.125,4.666666666666666,2,1,-3.541666666666666,253.8194444444444,0.0222222222222222
18.0,17.0,0.7,0.1,0.1,0.1,1.6666666666666667,158.33333333333334,1,1.0588235294117647,0.9444444444444444,1.0588235294117647,4.958333333333333,2,1,-3.899509803921569,305.46160130718954,0.0104166666666666
18.0,18.0,0.7,0.1,0.1,0.1,0.0,170.0,0,1.0,1.0,1.0,5.25,2,0,-4.25,361.25,0.0
19.0,15.0,0.7,0.1,0.1,0.1,6.666666666666667,133.33333333333334,1,1.2666666666666666,0.7894736842105263,1.2666666666666666,4.2,2,1,-2.9333333333333336,185.77777777777783,0.0476190476190476
19.0,16.0,0.7,0.1,0.1,0.1,5.0,145.0,1,1.1875,0.8421052631578947,1.1875,4.48,2,1,-3.2924999999999995,230.47500000000002,0.0333333333333333
19.0,17.0,0.7,0.1,0.1,0.1,3.333333333333333,156.66666666666666,1,1.1176470588235294,0.8947368421052632,1.1176470588235294,4.76,2,1,-3.6423529411764703,279.2470588235294,0.0208333333333333
19.0,18.0,0.7,0.1,0.1,0.1,1.6666666666666667,168.33333333333334,1,1.0555555555555556,0.9473684210526316,1.0555555555555556,5.04,2,1,-3.9844444444444447,332.03703703703707,0.0098039215686274
19.0,19.0,0.7,0.1,0.1,0.1,0.0,180.0,0,1.0,1.0,1.0,5.319999999999999,2,0,-4.319999999999999,388.79999999999995,0.0
20.0,15.0,0.7,0.1,0.1,0.1,8.333333333333334,131.66666666666666,1,1.3333333333333333,0.75,1.3333333333333333,4.038461538461537,2,1,-2.7051282051282044,166.81623931623923,0.0595238095238095
20.0,16.0,0.7,0.1,0.1,0.1,6.666666666666667,143.33333333333331,1,1.25,0.8,1.25,4.307692307692307,2,1,-3.0576923076923066,208.94230769230757,0.0444444444444444
20.0,17.0,0.7,0.1,0.1,0.1,5.0,155.0,1,1.1764705882352942,0.85,1.1764705882352942,4.576923076923077,2,1,-3.4004524886877823,255.0339366515837,0.03125
20.0,18.0,0.7,0.1,0.1,0.1,3.333333333333333,166.66666666666666,1,1.1111111111111112,0.9,1.1111111111111112,4.846153846153846,2,1,-3.735042735042735,305.02849002848995,0.0196078431372549
20.0,19.0,0.7,0.1,0.1,0.1,1.6666666666666667,178.33333333333331,1,1.0526315789473684,0.95,1.0526315789473684,5.115384615384615,2,1,-4.062753036437247,358.87651821862346,0.0092592592592592
20.0,20.0,0.7,0.1,0.1,0.1,0.0,190.0,0,1.0,1.0,1.0,5.384615384615384,2,0,-4.384615384615384,416.5384615384615,0.0
15.0,15.0,0.9,0.1,0.1,0.1,0.0,140.0,0,1.0,1.0,1.0,5.869565217391305,2,0,-4.869565217391305,340.8695652173913,0.0
16.0,15.0,0.9,0.1,0.1,0.1,1.25,138.75,1,1.0666666666666669,0.9375,1.0666666666666669,5.624999999999999,2,1,-4.558333333333333,313.38541666666663,0.0089285714285714
16.0,16.0,0.9,0.1,0.1,0.1,0.0,150.0,0,1.0,1.0,1.0,5.999999999999999,2,0,-4.999999999999999,374.99999999999994,0.0
17.0,15.0,0.9,0.1,0.1,0.1,2.5,137.5,1,1.1333333333333333,0.8823529411764706,1.1333333333333333,5.4,2,1,-4.266666666666668,288.0,0.0178571428571428
17.0,16.0,0.9,0.1,0.1,0.1,1.25,148.74999999999997,1,1.0625,0.9411764705882352,1.0625,5.76,2,1,-4.6975,346.4406249999999,0.0083333333333333
17.0,17.0,0.9,0.1,0.1,0.1,0.0,159.99999999999997,0,1.0,1.0,1.0,6.12,2,0,-5.12,409.5999999999999,0.0
18.0,15.0,0.9,0.1,0.1,0.1,3.75,136.25,1,1.2,0.8333333333333334,1.2,5.192307692307692,2,1,-3.992307692307691,264.4903846153846,0.0267857142857142
18.0,16.0,0.9,0.1,0.1,0.1,2.5,147.5,1,1.125,0.8888888888888888,1.125,5.538461538461537,2,1,-4.413461538461537,319.9759615384615,0.0166666666666666
18.0,17.0,0.9,0.1,0.1,0.1,1.25,158.75,1,1.0588235294117647,0.9444444444444444,1.0588235294117647,5.884615384615384,2,1,-4.82579185520362,380.03110859728497,0.0078125
18.0,18.0,0.9,0.1,0.1,0.1,0.0,170.0,0,1.0,1.0,1.0,6.23076923076923,2,0,-5.23076923076923,444.6153846153845,0.0
19.0,15.0,0.9,0.1,0.1,0.1,5.0,135.0,1,1.2666666666666666,0.7894736842105263,1.2666666666666666,5.0,2,1,-3.733333333333333,242.66666666666666,0.0357142857142857
