r1,r2,a11,a12,a21,a22,N1,N2,E1,S1,E2,S2,Rank,CoexistRank,Asy,cor,Rare
16.0,15.0,0.1,0.1,0.1,0.1,0.0,140.0,1.06,1.0,0.93,1.0,2.0,0.0,0.0,0.0,0.0
17.0,15.0,0.1,0.1,0.1,0.1,0.0,140.0,1.13,1.0,0.88,1.0,2.0,0.0,0.0,0.0,0.0
18.0,15.0,0.1,0.1,0.1,0.1,0.0,140.0,1.2,1.0,0.83,1.0,2.0,0.0,0.0,0.0,0.0
19.0,15.0,0.1,0.1,0.1,0.1,0.0,140.0,1.26,1.0,0.78,1.0,2.0,0.0,0.0,0.0,0.0
20.0,15.0,0.1,0.1,0.1,0.1,0.0,140.0,1.33,1.0,0.75,1.0,2.0,0.0,0.0,0.0,0.0
17.0,16.0,0.1,0.1,0.1,0.1,0.0,150.0,1.06,1.0,0.94,1.0,2.0,0.0,0.0,0.0,0.0
18.0,16.0,0.1,0.1,0.1,0.1,0.0,150.0,1.12,1.0,0.88,1.0,2.0,0.0,0.0,0.0,0.0
19.0,16.0,0.1,0.1,0.1,0.1,0.0,150.0,1.18,1.0,0.84,1.0,2.0,0.0,0.0,0.0,0.0
20.0,16.0,0.1,0.1,0.1,0.1,0.0,150.0,1.25,1.0,0.8,1.0,2.0,0.0,0.0,0.0,0.0
18.0,17.0,0.1,0.1,0.1,0.1,0.0,160.0,1.05,1.0,0.94,1.0,2.0,0.0,0.0,0.0,0.0
19.0,17.0,0.1,0.1,0.1,0.1,0.0,160.0,1.11,1.0,0.89,1.0,2.0,0.0,0.0,0.0,0.0
20.0,17.0,0.1,0.1,0.1,0.1,0.0,160.0,1.17,1.0,0.85,1.0,2.0,0.0,0.0,0.0,0.0
19.0,18.0,0.1,0.1,0.1,0.1,0.0,170.0,1.05,1.0,0.94,1.0,2.0,0.0,0.0,0.0,0.0
20.0,18.0,0.1,0.1,0.1,0.1,0.0,170.0,1.11,1.0,0.9,1.0,2.0,0.0,0.0,0.0,0.0
20.0,19.0,0.1,0.1,0.1,0.1,0.0,180.0,1.05,1.0,0.95,1.0,2.0,0.0,0.0,0.0,0.0
15.0,15.0,0.3,0.1,0.1,0.1,0.0,139.99,1.0,1.0,1.0,2.64,2.0,0.0,-1.64,115.29,0.0
16.0,15.0,0.3,0.1,0.1,0.1,5.0,135.0,1.06,1.0,0.93,2.66,2.0,1.0,-1.66,108.33,0.03
17.0,15.0,0.3,0.1,0.1,0.1,10.0,130.0,1.13,1.0,0.88,2.68,2.0,1.0,-1.68,101.05,0.07
18.0,15.0,0.3,0.1,0.1,0.1,15.0,125.0,1.2,1.0,0.83,2.7,2.0,1.0,-1.69,93.49,0.1
