r1,r2,a11,a12,a21,a22,N1_eq,N2_eq,left_PGR1,left_PGR2,left_flag,nu,nu_sign,coexist,S1,S2,F1_star,CE1,CE2,CE_case,Rank
15.0,16.0,0.1,0.1,0.1,0.1,1.357607287469793e-09,149.9999999985454,0.0,0.0,0,0.0,0,0,1.0,1.0,9.050715249804472e-12,-10.0,10.0,-1,2
15.0,17.0,0.1,0.1,0.1,0.1,6.151923055111947e-10,159.99999999929693,0.0,0.0,0,0.0,0,0,1.0,1.0,3.844951909447078e-12,-20.0,20.0,-1,2
16.0,17.0,0.1,0.1,0.1,0.1,1.4869441546909643e-09,159.9999999984139,0.0,0.0,0,0.0,0,0,1.0,1.0,9.293400966824286e-12,-10.0,10.0,-1,2
15.0,18.0,0.1,0.1,0.1,0.1,3.897676156664539e-10,169.99999999952672,0.0,0.0,0,0.0,0,0,1.0,1.0,2.2927506803920316e-12,-30.0,30.0,-1,2
16.0,18.0,0.1,0.1,0.1,0.1,6.659420146106727e-10,169.99999999924526,0.0,0.0,0,0.0,0,0,1.0,1.0,3.917305968300121e-12,-20.0,20.0,-1,2
17.0,18.0,0.1,0.1,0.1,0.1,1.5274048445200711e-09,169.99999999837712,0.0,0.0,0,0.0,0,0,1.0,1.0,8.984734379534877e-12,-10.0,10.0,-1,2
15.0,19.0,0.1,0.1,0.1,0.1,2.8125690080980254e-10,179.9999999996384,0.0,0.0,0,0.0,0,0,1.0,1.0,1.562538337832934e-12,-40.0,40.0,-1,2
16.0,19.0,0.1,0.1,0.1,0.1,4.096642354493932e-10,179.99999999950842,0.0,0.0,0,0.0,0,0,1.0,1.0,2.275912419164331e-12,-30.0,30.0,-1,2
17.0,19.0,0.1,0.1,0.1,0.1,7.167506995754686e-10,179.99999999919365,0.0,0.0,0,0.0,0,0,1.0,1.0,3.981948330976808e-12,-20.0,20.0,-1,2
18.0,19.0,0.1,0.1,0.1,0.1,1.6563703806989e-09,179.9999999982462,0.0,0.0,0,0.0,0,0,1.0,1.0,9.202057670554425e-12,-10.0,10.0,-1,2
15.0,20.0,0.1,0.1,0.1,0.1,1.9259051147745904e-10,189.9999999997386,0.0,0.0,0,0.0,0,0,1.0,1.0,1.013634270934362e-12,-50.0,50.0,-1,2
16.0,20.0,0.1,0.1,0.1,0.1,2.855827780647547e-10,189.99999999963825,0.0,0.0,0,0.0,0,0,1.0,1.0,1.5030672529729958e-12,-40.0,40.0,-1,2
17.0,20.0,0.1,0.1,0.1,0.1,4.2941414274038005e-10,189.99999999949006,0.0,0.0,0,0.0,0,0,1.0,1.0,2.260074435476642e-12,-30.0,30.0,-1,2
