r1,r2,a11,a22,a12,a21,N1,N2,Outcome,E1,E2,S1,S2,Rank,CoexistRank,Asy,cor,Rare
15.0,15.0,0.3,0.1,0.1,0.1,0.0752151447761773,139.9247039436502,0,1.0,1.0,1.0,2.647058823529412,2,0,-1.6470588235294117,115.17016724613157,0.0005372513446144
16.0,15.0,0.3,0.1,0.1,0.1,5.000143022219739,134.9998467145863,1,1.0666666666666669,0.9375,1.0666666666666669,2.5,2,1,-1.433333333333333,93.1664543128627,0.0357153099198063
16.0,16.0,0.3,0.1,0.1,0.1,0.0802282568631924,149.91968582449928,0,1.0,1.0,1.0,2.666666666666666,2,0,-1.666666666666666,124.8662146396967,0.0005348553521149
17.0,15.0,0.3,0.1,0.1,0.1,10.000069384492718,129.999920615826,1,1.1333333333333333,0.8823529411764706,1.1333333333333333,2.3684210526315788,2,1,-1.2350877192982457,74.10517128671809,0.0714290721340048
17.0,16.0,0.3,0.1,0.1,0.1,5.000155454007875,144.99983414022756,1,1.0625,0.9411764705882352,1.0625,2.526315789473684,2,1,-1.463815789473684,102.46687009106539,0.03333437200585
17.0,17.0,0.3,0.1,0.1,0.1,0.0852413716889363,159.91466769957356,0,1.0,1.0,1.0,2.6842105263157894,2,0,-1.6842105263157894,134.59320111821862,0.0005327588758251
18.0,15.0,0.3,0.1,0.1,0.1,15.000044891934472,124.99994536690332,1,1.2,0.8333333333333334,1.2,2.25,2,1,-1.05,57.74994774935865,0.1071431852545258
18.0,16.0,0.3,0.1,0.1,0.1,10.00007610341708,139.9999136705426,1,1.125,0.8888888888888888,1.125,2.4,2,1,-1.275,82.87489644904252,0.0666671785677222
18.0,17.0,0.3,0.1,0.1,0.1,5.00015847491092,154.9998315847382,1,1.0588235294117647,0.9444444444444444,1.0588235294117647,2.55,2,1,-1.491176470588235,111.83799156865061,0.0312509924097296
18.0,18.0,0.3,0.1,0.1,0.1,0.0902544886931103,169.90964956996928,0,1.0,1.0,1.0,2.7,2,0,-1.6999999999999995,144.34648581908476,0.0005309090566425
19.0,15.0,0.3,0.1,0.1,0.1,20.00003123342273,119.99995970060132,1,1.2666666666666666,0.7894736842105263,1.2666666666666666,2.142857142857143,2,1,-0.8761904761904762,43.80949247133538,0.1428573752040304
19.0,16.0,0.3,0.1,0.1,0.1,15.000045436259006,134.9999453751329,1,1.1875,0.8421052631578947,1.1875,2.2857142857142856,2,1,-1.0982142857142856,65.89280219857807,0.100000309034151
19.0,17.0,0.3,0.1,0.1,0.1,10.0000746488915,149.99991595565712,1,1.1176470588235294,0.8947368421052632,1.1176470588235294,2.4285714285714284,2,1,-1.310924369747899,91.76460186493878,0.0625004702256976
19.0,18.0,0.3,0.1,0.1,0.1,5.000169958293634,164.99982001204106,1,1.0555555555555556,0.9473684210526316,1.0555555555555556,2.571428571428571,2,1,-1.5158730158730156,121.2695760328006,0.029412766195846
19.0,19.0,0.3,0.1,0.1,0.1,0.0952676074523922,179.90463143652676,0,1.0,1.0,1.0,2.714285714285714,2,0,-1.714285714285714,154.12231185349228,0.0005292647826936
20.0,15.0,0.3,0.1,0.1,0.1,25.00002317099469,114.99996839882166,1,1.3333333333333333,0.75,1.3333333333333333,2.0454545454545454,2,1,-0.7121212121212122,32.045435043241426,0.1785716048313294
20.0,16.0,0.3,0.1,0.1,0.1,20.000031848848952,129.9999595380254,1,1.25,0.8,1.25,2.1818181818181817,2,1,-0.9318181818181815,51.24996630972993,0.1333335533151173
20.0,17.0,0.3,0.1,0.1,0.1,15.000053344204614,144.999936554509,1,1.1764705882352942,0.85,1.1764705882352942,2.318181818181818,2,1,-1.1417112299465235,74.21116327647053,0.0937503393200227
20.0,18.0,0.3,0.1,0.1,0.1,10.000081072161874,159.99990933122453,1,1.1111111111111112,0.9,1.1111111111111112,2.454545454545454,2,1,-1.343434343434343,100.75746039623903,0.0588240096274892
20.0,19.0,0.3,0.1,0.1,0.1,5.000181052966891,174.9998088595173,1,1.0526315789473684,0.95,1.0526315789473684,2.590909090909091,2,1,-1.5382775119617225,130.7533022483396,0.0277787851843657
20.0,20.0,0.3,0.1,0.1,0.1,0.1002807276420005,189.89961329989984,1,1.0,1.0,1.0,2.727272727272727,2,0,-1.727272727272727,163.91760540331356,0.0005277935977557
15.0,15.0,0.5,0.1,0.1,0.1,0.0375584472278776,139.96240120266734,0,1.0,1.0,1.0,3.947368421052632,2,0,-2.9473684210526314,206.2050314290687,0.000268274700377
16.0,15.0,0.5,0.1,0.1,0.1,2.5001404442787787,137.4998494763002,1,1.0666666666666669,0.9375,1.0666666666666669,3.75,2,1,-2.6833333333333336,181.12460961796205,0.0178581473162754
16.0,16.0,0.5,0.1,0.1,0.1,0.0400618987331706,149.9598952538064,0,1.0,1.0,1.0,4.0,2,0,-3.0,224.87975003260982,0.0002670794011789
17.0,15.0,0.5,0.1,0.1,0.1,5.000063427213246,134.9999274280716,1,1.1333333333333333,0.8823529411764706,1.1333333333333333,3.571428571428571,2,1,-2.438095238095238,158.47602468676064,0.0357147410986741
17.0,16.0,0.5,0.1,0.1,0.1,2.5001470339136063,147.49984312292307,1,1.0625,0.9411764705882352,1.0625,3.809523809523809,2,1,-2.7470238095238093,199.15880876511267,0.0166676479865065
17.0,17.0,0.5,0.1,0.1,0.1,0.0425653500919426,159.95738930358397,0,1.0,1.0,1.0,4.047619047619048,2,0,-3.0476190476190474,243.67973173865457,0.0002660335134724
18.0,15.0,0.5,0.1,0.1,0.1,7.500040094865669,132.4999511969364,1,1.2,0.8333333333333334,1.2,3.4090909090909087,2,1,-2.209090909090909,138.0680836263781,0.0535717182955628
18.0,16.0,0.5,0.1,0.1,0.1,5.0000678873990365,144.99992298762825,1,1.125,0.8888888888888888,1.125,3.636363636363636,2,1,-2.511363636363636,175.79527259744688,0.0333337879437929
18.0,17.0,0.5,0.1,0.1,0.1,2.5001620315107544,157.49982780407038,1,1.0588235294117647,0.9444444444444444,1.0588235294117647,3.8636363636363633,2,1,-2.804812834224599,217.37252592969924,0.0156260136896256
18.0,18.0,0.5,0.1,0.1,0.1,0.0450688012767685,169.9548833522938,0,1.0,1.0,1.0,4.090909090909091,2,0,-3.090909090909091,262.58789521520816,0.0002651106703609
19.0,15.0,0.5,0.1,0.1,0.1,10.000028065060077,129.99996377493142,1,1.2666666666666666,0.7894736842105263,1.2666666666666666,3.260869565217392,2,1,-1.994202898550725,119.65210980926307,0.0714287760565678
19.0,16.0,0.5,0.1,0.1,0.1,7.500047032654563,142.49994344884274,1,1.1875,0.8421052631578947,1.1875,3.4782608695652177,2,1,-2.2907608695652177,154.62624005278076,0.0500003167238847
19.0,17.0,0.5,0.1,0.1,0.1,5.000072184431679,154.99991872788723,1,1.1176470588235294,0.8947368421052632,1.1176470588235294,3.695652173913044,2,1,-2.5780051150895145,193.35018582583533,0.0312504529276614
19.0,18.0,0.5,0.1,0.1,0.1,2.5001675833558745,167.49982252627896,1,1.0555555555555556,0.9473684210526316,1.0555555555555556,3.91304347826087,2,1,-2.8574879227053147,235.74226062497348,0.0147068689930128
19.0,19.0,0.5,0.1,0.1,0.1,0.0475722522749276,179.95237740015557,0,1.0,1.0,1.0,4.130434782608696,2,0,-3.130434782608696,281.5901297966828,0.0002642903643405
20.0,15.0,0.5,0.1,0.1,0.1,12.500024842903567,127.4999660942902,1,1.3333333333333333,0.75,1.3333333333333333,3.125,2,1,-1.7916666666666663,103.0207807043672,0.0892858975148882
20.0,16.0,0.5,0.1,0.1,0.1,10.000028677777252,139.99996355612342,1,1.25,0.8,1.25,3.333333333333333,2,1,-2.083333333333333,135.41659883161057,0.0666668613034581
20.0,17.0,0.5,0.1,0.1,0.1,7.500046599892283,152.49994457055988,1,1.1764705882352942,0.85,1.1764705882352942,3.541666666666666,2,1,-2.365196078431372,171.476595026586,0.0468752938361245
20.0,18.0,0.5,0.1,0.1,0.1,5.000076315935919,164.9999146484439,1,1.1111111111111112,0.9,1.1111111111111112,3.75,2,1,-2.6388888888888884,211.11089779983695,0.0294122151864324
20.0,19.0,0.5,0.1,0.1,0.1,2.500181714770363,177.49980816001548,1,1.0526315789473684,0.95,1.0526315789473684,3.9583333333333326,2,1,-2.905701754385964,254.24836078941854,0.0138898991967142
20.0,20.0,0.5,0.1,0.1,0.1,0.0500757030828775,189.9498714473363,0,1.0,1.0,1.0,4.166666666666666,2,0,-3.166666666666666,300.67467659506787,0.0002635564053248
15.0,15.0,0.7,0.1,0.1,0.1,0.025026714427008,139.97494641183346,0,1.0,1.0,1.0,4.999999999999999,2,0,-3.999999999999999,279.89983939481283,0.0001787622802215
16.0,15.0,0.7,0.1,0.1,0.1,1.6668031579326423,138.3331870457769,1,1.0666666666666669,0.9375,1.0666666666666669,4.7727272727272725,2,1,-3.706060606060606,253.24695074974773,0.0119057376754621
