r1,r2,a11,a22,a12,a21,N1_eq,N2_eq,SoS1,SoS2,nu,nu_CE,rare_species,self_limitation,rare_extinction_rate,common_extinction_rate,mean_coexistence_time
3.7,3.3,2.3,1.9,1.7,0.37,0.35,1.1,1.1,2.6,0.57,1.696497090495389,species1_rare,weak,0.5,0.27,1.6
15.0,4.0,2.3,1.0,0.91,0.26,5.7,1.5,1.1,5.8,-9.9,16.05647229161291,species2_rare,strong,0.93,0.062,6.2
14.0,2.4,2.3,0.99,0.28,0.043,5.8,1.2,1.7,11.0,-22.0,48.157509051424405,species2_rare,strong,0.98,0.016,4.3
8.6,9.8,0.92,1.8,0.57,0.88,7.6,1.2,2.6,1.0,5.0,22.193237036472386,species2_rare,weak,0.93,0.065,7.5
3.5,15.0,0.56,0.79,0.1,0.26,1.3,18.0,5.4,1.6,-31.0,367.12830520665767,species1_rare,strong,1.0,0.0,6.9
3.8,3.2,2.4,2.0,2.1,1.8,1.0,0.15,0.98,1.2,-0.11,0.10574661769197227,species2_rare,strong,0.34,0.33,1.4
5.6,9.0,2.9,1.6,0.57,2.1,0.79,4.0,2.3,1.3,-1.7,-1.1401759086759504,species1_rare,strong,0.69,0.24,2.8
7.6,13.0,2.7,2.9,0.95,0.18,0.95,4.2,2.7,5.3,4.2,105.16084831716717,species1_rare,weak,0.92,0.059,4.0
15.0,8.5,0.87,3.0,1.6,0.37,15.0,0.7,1.6,2.2,-3.6,10.753936803667656,species2_rare,strong,0.99,0.01,5.1
9.9,16.0,1.9,2.8,1.5,1.8,1.2,4.4,1.8,1.0,-1.2,4.219274071577809,species1_rare,strong,0.68,0.3,5.4
12.0,10.0,2.5,2.9,0.82,1.5,4.2,1.0,2.9,1.6,2.1,14.092871400758199,species2_rare,weak,0.83,0.15,4.6
16.0,9.0,0.51,1.6,1.5,0.049,17.0,4.5,1.1,6.6,-35.0,-799.2513898763385,species2_rare,strong,0.97,0.028,53.0
17.0,19.0,2.0,0.94,0.27,0.18,5.5,18.0,3.0,7.2,26.0,332.67727096273694,species1_rare,weak,1.0,0.0,77.0
14.0,19.0,0.86,0.2,0.14,0.13,0.76,91.0,1.4,4.9,160.0,5547.740639915123,species1_rare,weak,1.0,0.0,12.0
