k,r1,r2,a11,a12,a21,a22,cor_sos,nu_sign,coexist,left_PGR1_dominant,right_PGR1_dominant,curve_cross
0.25,15.0,16.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
0.25,15.0,17.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
0.25,16.0,17.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
0.25,15.0,18.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
0.25,16.0,18.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
0.25,17.0,18.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
0.25,15.0,19.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
0.25,16.0,19.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
0.25,17.0,19.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
0.25,18.0,19.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
0.25,15.0,20.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
0.25,16.0,20.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
0.25,17.0,20.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
0.25,18.0,20.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
0.25,19.0,20.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
0.25,15.0,15.0,0.3,0.1,0.1,0.1,115.27985566006627,positive,1,0,0,0
0.25,16.0,15.0,0.3,0.1,0.1,0.1,108.3333085661212,positive,1,1,0,1
0.25,17.0,15.0,0.3,0.1,0.1,0.1,101.0526191688023,positive,1,1,0,1
0.25,18.0,15.0,0.3,0.1,0.1,0.1,93.49999242336568,positive,1,1,1,0
0.25,19.0,15.0,0.3,0.1,0.1,0.1,85.71427880118829,positive,1,1,1,0
0.25,20.0,15.0,0.3,0.1,0.1,0.1,77.72726792803147,positive,1,1,1,0
0.25,15.0,16.0,0.3,0.1,0.1,0.1,123.52938844666517,positive,1,0,0,0
0.25,16.0,16.0,0.3,0.1,0.1,0.1,124.98509484394928,positive,1,0,0,0
0.25,17.0,16.0,0.3,0.1,0.1,0.1,117.89471081503252,positive,1,1,0,1
0.25,18.0,16.0,0.3,0.1,0.1,0.1,110.49998756520704,positive,1,1,0,1
0.25,19.0,16.0,0.3,0.1,0.1,0.1,102.85713422409331,positive,1,1,1,0
0.25,20.0,16.0,0.3,0.1,0.1,0.1,94.9999936044901,positive,1,1,1,0
0.25,15.0,17.0,0.3,0.1,0.1,0.1,131.76469448185964,positive,1,0,0,0
0.25,16.0,17.0,0.3,0.1,0.1,0.1,133.33330855228382,positive,1,0,0,0
0.25,17.0,17.0,0.3,0.1,0.1,0.1,134.72131598381628,positive,1,0,0,0
0.25,18.0,17.0,0.3,0.1,0.1,0.1,127.4999712353017,positive,1,1,0,1
0.25,19.0,17.0,0.3,0.1,0.1,0.1,119.99998615214284,positive,1,1,0,1
0.25,20.0,17.0,0.3,0.1,0.1,0.1,112.27271750984148,positive,1,1,0,1
0.25,15.0,18.0,0.3,0.1,0.1,0.1,139.99999278142943,positive,1,0,0,0
0.25,16.0,18.0,0.3,0.1,0.1,0.1,141.66665495302826,positive,1,0,0,0
0.25,17.0,18.0,0.3,0.1,0.1,0.1,143.15786704884846,positive,1,0,0,0
0.25,18.0,18.0,0.3,0.1,0.1,0.1,144.48387514448737,positive,1,0,0,0
0.25,19.0,18.0,0.3,0.1,0.1,0.1,137.14282727731393,positive,1,1,0,1
0.25,20.0,18.0,0.3,0.1,0.1,0.1,129.54543926093845,positive,1,1,0,1
0.25,15.0,19.0,0.3,0.1,0.1,0.1,148.23528938920353,positive,1,0,0,0
0.25,16.0,19.0,0.3,0.1,0.1,0.1,149.99999262536355,positive,1,0,0,0
0.25,17.0,19.0,0.3,0.1,0.1,0.1,151.57893396190116,positive,1,0,0,0
0.25,18.0,19.0,0.3,0.1,0.1,0.1,152.99997104495418,positive,1,0,0,0
0.25,19.0,19.0,0.3,0.1,0.1,0.1,154.26900834834993,positive,1,0,0,0
0.25,20.0,19.0,0.3,0.1,0.1,0.1,146.81814933638677,positive,1,1,0,1
0.25,15.0,20.0,0.3,0.1,0.1,0.1,156.47058488856695,positive,1,0,0,0
0.25,16.0,20.0,0.3,0.1,0.1,0.1,158.3333273771478,positive,1,0,0,0
0.25,17.0,20.0,0.3,0.1,0.1,0.1,159.99999248718788,positive,1,0,0,0
0.25,18.0,20.0,0.3,0.1,0.1,0.1,161.49998638913817,positive,1,0,0,0
0.25,19.0,20.0,0.3,0.1,0.1,0.1,162.85711271852136,positive,1,0,0,0
0.25,20.0,20.0,0.3,0.1,0.1,0.1,164.07362678945518,positive,1,0,0,0
0.25,15.0,15.0,0.5,0.1,0.1,0.1,206.29774560325777,positive,1,0,0,0
