r1,r2,a11,a12,a21,a22,cor_sos,nu_sign,coexist,left_PGR1_dominant,right_PGR1_dominant,curve_cross
16.0,15.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
17.0,15.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
18.0,15.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
19.0,15.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
20.0,15.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
17.0,16.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
18.0,16.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
19.0,16.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
20.0,16.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
18.0,17.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
19.0,17.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
20.0,17.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
19.0,18.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
20.0,18.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
20.0,19.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
15.0,15.0,0.3,0.1,0.1,0.1,115.2941176470588,positive,0,0,0,0
16.0,15.0,0.3,0.1,0.1,0.1,108.3333333333333,positive,1,0,0,0
17.0,15.0,0.3,0.1,0.1,0.1,101.05263157894736,positive,1,0,0,0
18.0,15.0,0.3,0.1,0.1,0.1,93.49999999999996,positive,1,0,0,0
19.0,15.0,0.3,0.1,0.1,0.1,85.71428571428568,positive,1,0,0,0
20.0,15.0,0.3,0.1,0.1,0.1,77.7272727272727,positive,1,0,0,0
15.0,16.0,0.3,0.1,0.1,0.1,123.52941176470588,positive,0,0,0,0
16.0,16.0,0.3,0.1,0.1,0.1,124.99999999999996,positive,0,0,0,0
17.0,16.0,0.3,0.1,0.1,0.1,117.89473684210526,positive,1,0,0,0
18.0,16.0,0.3,0.1,0.1,0.1,110.49999999999996,positive,1,0,0,0
19.0,16.0,0.3,0.1,0.1,0.1,102.85714285714285,positive,1,0,0,0
20.0,16.0,0.3,0.1,0.1,0.1,95.0,positive,1,0,0,0
15.0,17.0,0.3,0.1,0.1,0.1,131.76470588235293,positive,0,0,0,0
16.0,17.0,0.3,0.1,0.1,0.1,133.3333333333333,positive,0,0,0,0
17.0,17.0,0.3,0.1,0.1,0.1,134.73684210526315,positive,0,0,0,0
18.0,17.0,0.3,0.1,0.1,0.1,127.49999999999996,positive,1,0,0,0
19.0,17.0,0.3,0.1,0.1,0.1,119.99999999999996,positive,1,0,0,0
20.0,17.0,0.3,0.1,0.1,0.1,112.27272727272728,positive,1,0,0,0
15.0,18.0,0.3,0.1,0.1,0.1,140.0,positive,0,0,0,0
16.0,18.0,0.3,0.1,0.1,0.1,141.66666666666663,positive,0,0,0,0
17.0,18.0,0.3,0.1,0.1,0.1,143.1578947368421,positive,0,0,0,0
18.0,18.0,0.3,0.1,0.1,0.1,144.49999999999994,positive,0,0,0,0
19.0,18.0,0.3,0.1,0.1,0.1,137.1428571428571,positive,1,0,0,0
20.0,18.0,0.3,0.1,0.1,0.1,129.54545454545453,positive,1,0,0,0
